,COUNTRY,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
10,European Union - 27 countries (from 2020),157.15,154.77,156.57,161.18,165.16,168.96,173.84,173.25,177.56,177.92
11,Belgium,154.24,154.46,155.77,155.4,155.32,157.13,156.55,157.51,160.62,167.28
13,Czechia,90.06,91.56,95.66,96.89,103.14,108.82,115.03,122,125.04,124.21
14,Denmark,158.53,160.05,159.05,161.41,155.26,163.29,168.29,173.1,169.11,179.34
15,Germany (until 1990 former territory of the FRG),205.37,206.23,212.37,219.53,222.23,220.55,226.52,227.49,227.55,225.79
16,Estonia,145.41,149.15,169.9,173.3,172.14,169.33,175.46,158.15,157.64,154.74
17,Ireland,188.55,176,188.18,208.13,209.14,208.46,215.98,208.06,227.98,224.45
19,Spain,152.9,143.73,143.63,147.64,154.03,155.55,161.7,161.22,170.04,168.21
20,France,196.7,187.3,184.43,188.1,187.36,190.08,193.08,195.49,187.01,187.6
22,Italy,195.99,190.55,190.31,196.78,202.82,209.54,217.35,211.2,215.64,208.77
23,Cyprus,88.8,86.75,91.31,85.69,85.97,86.23,89.94,86.73,92.31,91.68
24,Latvia,104.91,105.13,113.94,111.15,118,118.2,122.17,133.54,136.74,142.81
25,Lithuania,96.54,101.12,108.11,117.56,120.94,127.39,127.72,126.58,134.41,136.79
26,Luxembourg,201.95,202.67,206.14,227.03,217.55,222.44,225.15,224.04,217.22,205.22
27,Hungary,84.08,102.1,103.34,110.01,117.68,121.78,128.82,138.35,142.79,154.61
28,Malta,127.93,125.12,133.89,133.76,140.64,146.98,146.76,146.65,153.7,139.81
29,Netherlands,164.62,164.07,167.46,165.25,182,184.38,183.17,165.05,170.42,173.55
30,Austria,146.82,148.7,149.97,152.52,151.72,153.46,156.52,159.9,161.89,157.34
32,Portugal,148.31,145.34,149.1,151.46,153.05,160.18,166.01,173.47,172.22,175.07
33,Romania,49.26,52.82,52.75,62.52,70.48,68.53,71.92,80.47,103.81,116.38
34,Slovenia,101.03,98.2,97.28,101.7,104.75,108.04,113.29,114.81,117.44,118.16
35,Slovakia,82.19,82.91,81.77,85.56,90.94,95.35,95.15,102.2,104.77,103.67
36,Finland,131.7,132.2,131.77,134.01,130.27,129.19,135,127.93,131.44,157.66
37,Sweden,109.13,111.17,109.17,113.23,113.34,132.41,130.75,133.04,134.31,132.06
38,Iceland,138.52,139,147.59,129.39,140.88,147.12,150.4,146.79,149.05,130.61
39,Liechtenstein,157.63,141.72,152.28,155.15,172.83,165.74,169.88,174.66,178.39,195.49
40,Norway,146.69,138.76,145.68,148.53,153.03,149.53,163.05,161.11,165.51,173.45
