,Year,Plastics,Paper/cardboard,Metales ,Wood,Total general 
1,1999,4%,22%,17%,19%,15%
2,2000,10%,30%,27%,21%,23%
3,2001,14%,45%,39%,37%,33%
4,2002,17%,52%,44%,60%,38%
5,2003,21%,56%,53%,62%,43%
6,2004,22%,63%,58%,65%,47%
7,2005,25%,68%,61%,72%,51%
8,2006,29%,69%,63%,58%,53%
9,2007,32%,74%,63%,38%,56%
10,2008,38%,81%,68%,35%,62%
11,2009,41%,84%,71%,48%,65%
12,2010,45%,82%,71%,42%,65%
13,2011,49%,82%,77%,51%,68%
14,2012,53%,81%,81%,47%,70%
15,2013,56%,81%,84%,50%,71%
16,2014,61%,81%,83%,58%,73%
17,2015,63%,82%,82%,57%,74%
18,2016,66%,82%,84%,66%,76%
19,2017,69%,81%,86%,64%,77%
20,2018,75%,80%,85%,65%,78%
21,2019,79%,80%,83%,60%,80%
22,2020,81%,78%,86%,60%,80%
23,2021,87%,78%,86%,55%,82%
