,COUNTRY,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Material
9,European Union - 27 countries (from 2020),83.3,83.8,82.7,83.5,84,84.1,83.9,85.4,85.4,84.2,82.1,81.5,Papel-cartón
12,Belgium,88,89.8,90.4,89.8,89.1,90.6,90.7,89.4,92.9,95.6,92.3,89.4,Papel-cartón
14,Czechia,93.9,93.5,90.5,85.9,87.6,88.6,90.1,93.7,90.2,85.6,88.2,87.5,Papel-cartón
15,Denmark,93.5,93.5,63.8,76.5,85.4,91.8,95.3,97.7,81.9,99.7,99.7,69.3,Papel-cartón
16,Germany (until 1990 former territory of the FRG),91.1,90.2,88,87.6,88.2,87.3,85.7,88.7,87.6,86.8,80.6,84.2,Papel-cartón
17,Estonia,69.1,82.9,79.1,77.2,75.5,74.2,76.3,79,76.9,86.1,85.9,93.3,Papel-cartón
18,Ireland,81.2,84,91.5,83,79.1,79.4,79.7,79.2,78.5,79.1,78.5,78.1,Papel-cartón
20,Spain,76.7,76.1,76.6,77.8,75,78.2,76.9,79.7,74.6,72.5,72.9,71.8,Papel-cartón
21,France,85.6,91.9,88,91.8,95.8,94.1,92,93.9,98.4,92.1,91.4,82.2,Papel-cartón
23,Italy,80.4,78.7,79.5,84.5,84.6,78.7,79.7,79.7,79.8,80,80.8,86.1,Papel-cartón
24,Cyprus,78.9,83.4,88.3,88.9,97.3,96.7,96.6,99.7,93.3,97.9,99.5,82.9,Papel-cartón
25,Latvia,74.6,74.9,75.2,75.3,74.7,81.5,77.5,81.1,86.2,82.9,80.9,79.3,Papel-cartón
26,Lithuania,73.5,83.5,83.7,82.4,87.3,89.1,87.2,85,86.7,77.5,77,80.1,Papel-cartón
27,Luxembourg,76.5,76,77.8,76.7,74.4,81.6,77.2,78.2,79.1,80.2,80.1,79.7,Papel-cartón
28,Hungary,94,94.7,94,73,78.3,66.2,75.8,77,74.5,67.5,70.5,79.7,Papel-cartón
29,Malta,48.4,51.4,72.7,77.2,48.4,55.5,56.4,59.7,50.7,48.4,45.5,47.8,Papel-cartón
30,Netherlands,94.8,89.9,88.6,88.9,88.2,85.9,85.4,85.4,87.1,87.9,91,89.4,Papel-cartón
31,Austria,84.8,84.5,84.5,84.9,84.3,84.9,84.9,84.9,83.5,84.2,84.7,80,Papel-cartón
33,Portugal,79.5,67,71.3,66.1,73.4,69.1,62.2,70.1,66.9,66.8,71,66,Papel-cartón
34,Romania,68.7,66.8,65.5,69.8,74.6,83.4,89.3,92.5,90.6,88.9,68.3,63.2,Papel-cartón
35,Slovenia,71.8,74.7,73.5,78.7,78.7,80.4,75.6,76.6,76.2,81.2,80.6,82.9,Papel-cartón
36,Slovakia,84.2,50.8,80.2,84.7,79.7,79.9,76.8,78.4,74.2,76.7,77.7,79.7,Papel-cartón
37,Finland,94.7,96.2,96.8,99.2,97.6,101.2,111.6,114.6,116.1,116,115.9,123.1,Papel-cartón
38,Sweden,74.2,69.6,75.5,76.8,78.4,79.3,81.7,81.8,81.8,77.2,75,78,Papel-cartón
40,Liechtenstein,78,75.1,74.6,66.2,75.9,76.2,82.1,82.6,82.3,82.6,85,85,Papel-cartón
41,Norway,79.6,83.2,84.9,81.6,81.4,82.9,82.2,83,85,79.3,83.3,77.6,Papel-cartón
9,European Union - 27 countries (from 2020),62.6,64,64.2,65.2,65.4,66.5,66.6,67.6,67.5,65.6,64.6,64,Packaging
12,Belgium,79.1,79.8,80.2,80.3,78.7,81.3,81.5,81.9,83.8,85.3,83.5,79.7,Packaging
14,Czechia,68.8,70,69.7,69.9,69.9,73,74.3,75.3,72.3,69.6,71.2,67.9,Packaging
15,Denmark,84,84,54.3,61.6,69.8,69.8,73.9,79,71.5,70.1,70.4,64,Packaging
16,Germany (until 1990 former territory of the FRG),73.5,72.7,71.8,71.3,71.8,71.4,69.3,70.7,69.9,68.5,63.2,68.1,Packaging
17,Estonia,57.2,56.1,62.9,61.3,58.4,60.3,59,56,53.5,60.4,66.2,71.4,Packaging
18,Ireland,64.9,66.2,70.9,74,70.2,68.3,67.5,67,65.6,63.9,62.5,62.4,Packaging
20,Spain,60.3,61.9,63.9,65.5,66.6,68.7,68.4,70.3,68.5,68.8,69.6,68.3,Packaging
21,France,56.4,61.1,61.3,64.9,66.4,65.2,65.5,66,68.1,63.5,65.6,60.3,Packaging
23,Italy,64,64.4,64.5,66.6,66.7,65.4,66.8,66.9,67.1,68.3,69.6,72.8,Packaging
24,Cyprus,42.2,50,52,55.3,56.6,58.7,59.8,64.6,66.2,70.2,66.8,59.9,Packaging
25,Latvia,44.9,48.9,50.9,51.1,51,54.9,53.9,57.7,58.7,55.8,62.4,61.4,Packaging
26,Lithuania,57.7,60.4,62.2,62.2,53.5,57.7,59.8,69.5,61.8,60.7,61.9,61.8,Packaging
27,Luxembourg,61,66,66,62.5,62.8,66,70,70.3,69.7,70.9,71.5,71.9,Packaging
28,Hungary,51.1,58.7,59.3,48.5,49.2,48.4,50.1,49.7,49.7,46.1,47,52.4,Packaging
29,Malta,36,28.5,42.3,46.6,38.1,41.1,37.1,39.7,35.6,35.7,33.7,40,Packaging
30,Netherlands,74.9,73.9,71.9,69.3,70.4,70.5,71.7,72.6,78.1,79.4,80.7,76.5,Packaging
31,Austria,66.9,66.6,65.8,65.9,66.6,66.6,67.1,66.8,65.6,65.5,65.4,63.7,Packaging
33,Portugal,59.9,55.5,58.4,56.9,61.5,61,57.1,60.9,55.3,57.9,62.8,59.5,Packaging
34,Romania,40.5,43.4,50,56.8,52.8,54.8,55.9,60.4,60.4,57.9,44.6,39.9,Packaging
35,Slovenia,49.6,61,63.6,66.9,69,70.4,67,69.4,70.1,68,67.1,67.9,Packaging
36,Slovakia,59.9,45.7,62.4,68.1,65.9,65.4,64.3,65.8,65.7,66.6,67.5,70.8,Packaging
37,Finland,55.5,55.4,58.7,59.3,58,57.4,60.9,64.7,65.2,70.2,70.6,73.2,Packaging
38,Sweden,58.9,69.2,71.5,69.6,71.9,70.5,71.8,68.2,71.7,65,63.6,60.9,Packaging
40,Liechtenstein,50,45.9,48.7,44.3,50.3,51.9,66.1,65.8,66.7,68,70,72.1,Packaging
41,Norway,53.1,56.7,57.5,55.9,54.5,55.7,55.1,56.3,54.5,52.9,53.9,52.5,Packaging
9,European Union - 27 countries (from 2020),33.5,34.1,35.6,37,37.5,39,40.5,42.4,41.7,41.4,41.1,37.6,Plastic
12,Belgium,43,41.5,41.4,41.5,39,41.8,42.6,43.4,44.5,42.4,47.3,44.7,Plastic
14,Czechia,52.5,54,57,58.2,59.7,58.2,61.7,59.2,58.6,57,61,41.8,Plastic
15,Denmark,26.4,26.4,22.3,25.9,29.1,30.7,30.5,36.1,41.8,31.3,37.4,22.9,Plastic
16,Germany (until 1990 former territory of the FRG),46.5,45.1,46.3,47,46.8,47.3,47.4,48.4,48,46.4,43.3,46.2,Plastic
17,Estonia,22.7,33.4,39.6,29.8,28.1,29.3,27.8,24.6,26.5,37.7,40.6,40.9,Plastic
18,Ireland,36.2,39.4,47.5,38.2,34.8,31.3,29.7,31.2,30.5,27.1,27.5,29,Plastic
20,Spain,26.6,29.2,32.4,35.1,40.7,42.5,44,45.5,47.9,50.7,51.5,51.4,Plastic
21,France,25,23.7,23.3,25.1,25.6,25.2,25.5,25.8,26.5,26.9,26.9,21.4,Plastic
23,Italy,33.5,34.5,36.1,37.5,36.8,38,41.1,42.4,41.8,43.4,44.7,51.2,Plastic
24,Cyprus,18.2,27.2,38,44.8,45.3,46.6,63.7,62.3,65,54.3,50.5,48.6,Plastic
25,Latvia,20.3,24,23,24,24.5,36.4,35.3,37.2,36.6,35.8,35.4,35.9,Plastic
26,Lithuania,35.9,38.4,38.9,38.9,42.9,51.2,54.8,74.4,71.5,69.3,69.6,56.1,Plastic
27,Luxembourg,24.6,31,33.2,36.7,32.2,32.3,32.7,31.9,33.1,32.3,33.4,34.7,Plastic
28,Hungary,24.5,32.5,22.4,27.8,30.8,36.8,27.4,31.4,32,30,33,24.9,Plastic
29,Malta,50.9,22,28.9,32.8,22.6,32.9,28.6,23.5,19.2,11.1,15.4,10.2,Plastic
30,Netherlands,38.4,47.6,50.7,47.7,46.6,50.6,49.8,51.5,50.4,52,57.2,49.2,Plastic
31,Austria,32.7,34.4,34.8,34.7,34.4,33.6,33.6,33.6,33.4,31.9,30.8,31.6,Plastic
33,Portugal,25.5,24.5,26.1,30.4,35.3,40,43,41.8,34.9,33.9,35.6,33.9,Plastic
34,Romania,23.8,28.2,40.3,51.3,51.7,44.5,46.7,46.5,47.6,43,31.1,30.1,Plastic
35,Slovenia,42,67.3,75.5,64.8,81.7,69.3,63.4,62,60.4,48.8,50.3,44.6,Plastic
36,Slovakia,49.3,44.9,49.9,57,55.1,55.9,54.4,51.7,52.4,51.4,52.8,56.3,Plastic
37,Finland,25.3,26.2,25.4,25.4,22.7,24.6,23.7,25.4,26.5,31.1,42,39.4,Plastic
38,Sweden,37.5,32.4,34.1,34.9,45.6,47.5,49,50.7,48.4,50,53.2,33.5,Plastic
40,Liechtenstein,3,2.3,2.6,7,6.6,6.8,16.9,20.9,18.3,21.4,26.5,30.2,Plastic
41,Norway,30,36.4,37.6,38.1,38.8,36.1,37.1,39.3,36.9,36.3,33.2,27.9,Plastic
9,European Union - 27 countries (from 2020),68.8,71.2,72.3,73.1,73.4,75.3,74.2,75.3,75.8,75.8,75.6,75.9,Cristal
12,Belgium,100,100,100,100,100,100,100,100,100,100,100,96.9,Cristal
14,Czechia,71.2,73.1,74.4,81.1,75,71.6,72.6,72.8,72.3,74.8,76.4,83.6,Cristal
15,Denmark,174.2,174.2,85.9,93.6,93,83.6,79.5,85,94.9,82.4,71.1,84.3,Cristal
16,Germany (until 1990 former territory of the FRG),82.5,86.1,88.4,84.7,88.7,89,85.2,85.5,84.4,83,78,79.7,Cristal
17,Estonia,89.9,43.4,65.4,70.7,71.5,72.8,62.1,63.4,61,65.4,105,77.8,Cristal
18,Ireland,75.8,77.8,81.2,85.5,80,86.8,87.6,86.3,84.2,82.2,83.7,84.2,Cristal
20,Spain,56.5,59.8,64.4,64.2,67.4,69.7,70.4,71.8,72.2,76.8,79.8,72.5,Cristal
21,France,68.1,69.8,70.7,73.5,73.9,74.6,74.8,76.1,77.9,76.2,77.1,78.7,Cristal
23,Italy,66,68.3,69.2,70.9,70.8,70.3,70.9,70.8,72.8,73.4,77.3,78.6,Cristal
24,Cyprus,19.9,25.2,33.8,32.4,32.1,32.2,33.2,39.4,42.4,46.3,45.3,34.8,Cristal
25,Latvia,44.4,47.6,51.6,55.1,55.1,60.6,60.5,64,65.5,68.8,69,70.1,Cristal
26,Lithuania,76.1,66.9,74.1,72.2,54.8,60.5,74.3,71,45.6,58.2,57.3,63.4,Cristal
27,Luxembourg,92.5,93.8,94.4,94.6,94.8,94.5,97,97.5,97.5,98.3,98.4,99,Cristal
28,Hungary,24.4,35.4,41.2,34.2,32.4,36.3,50.5,34.6,34.2,35.3,29.3,37.8,Cristal
29,Malta,8.7,5.8,17.2,21.3,49.1,31.2,20.3,29.5,28.6,41.4,43.9,62.5,Cristal
30,Netherlands,91.8,91.3,82.8,71.3,79.8,80.1,82.7,84.4,86.2,85.7,86.6,77.1,Cristal
31,Austria,84.8,83,82.8,82.9,84.8,84.5,85.6,85.2,84.1,83.9,81.1,81.6,Cristal
33,Portugal,55.3,56.6,59.7,59.6,55.7,56.4,55.2,58.5,49,51.3,56.1,52,Cristal
34,Romania,48.2,56.8,60,66.3,49.2,54.2,41.1,64.1,63,61.1,42.9,42.7,Cristal
35,Slovenia,52.4,75.1,82.3,87.3,85.9,99.3,98.5,100.2,98.5,104,99.5,98.4,Cristal
36,Slovakia,51.6,55.7,63.9,69.4,72.9,67.7,66.2,62.2,68.7,68.6,69.7,74.4,Cristal
37,Finland,45.1,61.3,87.9,77.6,76.8,81.4,78.4,89.8,91.8,99.3,97.4,97.3,Cristal
38,Sweden,90.4,92.9,91.9,88.2,89,94.7,93.6,92.8,93,92.7,93.1,93.5,Cristal
40,Liechtenstein,63.4,62.1,64.1,64.1,60.8,65.1,72.9,70.1,73.2,75.5,72.4,79.9,Cristal
41,Norway,85.7,91.8,87.4,87.6,86.2,87.8,86.8,89.4,83.5,89.4,97.7,90.4,Cristal
